issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
0006-3207,2023,all,220,152,215,150,216,151,183,128
0006-3223,2023,core,88,44,80,42,87,44,50,27
0006-3223,2023,all,122,44,111,42,121,44,75,27
0006-3231,2023,core,106,83,97,77,105,83,79,63
0006-3231,2023,all,107,83,98,77,106,83,80,63
0006-3363,2023,core,18,13,17,12,12,7,3,1
0006-3363,2023,all,18,13,17,12,12,7,3,1
0006-3398,2023,core,1,0,1,0,1,0,1,0
0006-3398,2023,all,1,0,1,0,1,0,1,0
0006-341X,2023,core,51,29,47,29,48,28,37,24
0006-341X,2023,all,55,30,51,30,52,29,40,25
0006-3444,2023,core,7,7,7,7,3,3,1,1
0006-3444,2023,all,7,7,7,7,3,3,1,1
0006-3495,2023,core,90,49,78,41,87,49,13,6
0006-3495,2023,all,99,50,85,42,95,49,19,6
0006-3525,2023,core,13,7,13,7,13,7,5,3
0006-3525,2023,all,13,7,13,7,13,7,5,3
0006-3568,2023,core,14,8,14,8,3,2,3,2
0006-3568,2023,all,15,8,15,8,4,2,4,2
0006-3592,2023,core,151,114,138,106,149,113,25,20
0006-3592,2023,all,153,115,140,107,151,114,25,20
0006-3606,2023,core,50,33,45,31,50,33,43,29
0006-3606,2023,all,51,34,46,32,51,34,44,30
0006-3657,2023,core,10,4,10,4,10,4,5,3
0006-3657,2023,all,10,4,10,4,10,4,5,3
0006-3835,2023,core,34,26,30,23,31,26,17,15
0006-3835,2023,all,34,26,30,23,31,26,17,15
0006-8055,2023,core,1,0,1,0,0,0,0,0
0006-8055,2023,all,1,0,1,0,0,0,0,0
0006-8101,2023,core,4,4,4,4,4,4,2,2
0006-8101,2023,all,4,4,4,4,4,4,2,2
0006-8314,2023,core,39,35,38,34,39,35,35,31
0006-8314,2023,all,42,38,41,37,42,38,38,34
0006-8950,2023,core,160,131,150,123,152,124,65,47
0006-8950,2023,all,186,140,172,130,177,133,80,51
0006-8977,2023,core,3,2,3,2,3,2,3,2
0006-8977,2023,all,3,2,3,2,3,2,3,2
0006-8993,2023,core,45,22,44,22,44,22,14,6
0006-8993,2023,all,45,22,44,22,44,22,14,6
0007-0610,2023,core,122,54,115,47,119,53,91,31
0007-0610,2023,all,190,55,176,48,185,54,150,32
0007-070X,2023,core,51,27,50,27,46,27,29,19
0007-070X,2023,all,51,27,50,27,46,27,29,19
0007-0874,2023,core,25,23,25,23,25,23,24,22
0007-0874,2023,all,25,23,25,23,25,23,24,22
0007-0904,2023,core,9,7,9,7,7,6,7,6
0007-0904,2023,all,9,7,9,7,7,6,7,6
0007-0912,2023,core,98,47,87,43,97,46,59,30
0007-0912,2023,all,194,49,175,45,180,48,113,31
0007-0920,2023,core,176,146,161,137,167,141,70,58
0007-0920,2023,all,204,162,189,153,193,156,86,68
0007-0955,2023,core,26,15,26,15,25,14,21,12
0007-0955,2023,all,27,15,27,15,25,14,21,12
0007-0963,2023,core,94,40,90,39,88,37,40,14
0007-0963,2023,all,176,50,169,48,169,46,100,19
0007-0998,2023,core,91,62,86,61,89,62,70,52
0007-0998,2023,all,93,62,88,61,91,62,72,52
0007-1005,2023,core,36,27,35,26,36,27,33,24
0007-1005,2023,all,38,27,37,26,37,27,34,24
0007-1013,2023,core,66,49,60,48,62,48,47,39
0007-1013,2023,all,70,49,64,48,66,48,51,39
0007-1048,2023,core,241,162,222,150,228,159,103,72
0007-1048,2023,all,390,206,367,193,373,202,198,105
0007-1080,2023,core,34,28,32,27,33,28,22,19
0007-1080,2023,all,35,29,33,28,34,29,23,20
0007-1102,2023,core,21,13,21,13,19,13,15,11
0007-1102,2023,all,23,14,23,14,21,14,16,11
0007-1145,2023,core,211,140,199,134,203,137,107,75
0007-1145,2023,all,219,144,207,138,211,141,113,78
0007-1161,2023,core,43,17,37,15,40,17,19,8
0007-1161,2023,all,45,17,39,15,42,17,21,8
0007-1188,2023,core,150,107,140,103,141,102,26,15
0007-1188,2023,all,158,109,148,105,148,104,31,16
0007-1234,2023,core,83,72,79,69,80,70,56,51
0007-1234,2023,all,83,72,79,69,80,70,56,51
0007-1250,2023,core,71,41,68,38,68,40,52,28
0007-1250,2023,all,87,42,84,39,78,41,62,29
0007-1269,2023,core,56,43,55,42,55,43,40,32
0007-1269,2023,all,65,49,64,48,64,49,47,37
0007-1285,2023,core,128,99,114,86,125,96,79,59
0007-1285,2023,all,135,102,120,88,132,99,84,60
0007-1315,2023,core,53,48,53,48,52,48,50,46
0007-1315,2023,all,55,49,55,49,54,49,52,47
0007-1323,2023,core,136,87,124,82,130,86,73,52
0007-1323,2023,all,197,103,179,96,185,102,109,59
0007-1420,2023,core,22,9,15,9,21,8,8,6
0007-1420,2023,all,23,10,15,9,22,9,8,6
0007-1668,2023,core,10,8,10,8,10,8,8,6
0007-1668,2023,all,10,8,10,8,10,8,8,6
