issn_l,cr_year,ta_articles,oa_articles
0006-8314,2019,14,13
0006-8314,2020,26,25
0006-8314,2021,27,24
0006-8314,2022,26,25
0006-8314,2023,25,22
0006-8950,2019,6,2
0006-8950,2020,12,10
0006-8950,2021,122,85
0006-8950,2022,158,106
0006-8950,2023,147,105
0006-8977,2021,5,5
0006-8977,2022,3,3
0006-8977,2023,1,0
0006-8993,2019,5,0
0006-8993,2020,21,10
0006-8993,2021,25,14
0006-8993,2022,20,11
0006-8993,2023,37,21
0007-0610,2019,219,0
0007-0610,2020,207,4
0007-0610,2021,206,19
0007-0610,2022,254,43
0007-0610,2023,270,49
0007-070X,2020,17,0
0007-070X,2021,32,0
0007-070X,2022,33,0
0007-070X,2023,37,0
0007-0874,2019,5,1
0007-0874,2020,7,1
0007-0874,2021,38,9
0007-0874,2022,26,16
0007-0874,2023,59,20
0007-0904,2019,1,1
0007-0904,2020,2,2
0007-0904,2021,17,6
0007-0904,2022,18,9
0007-0904,2023,22,13
0007-0912,2020,22,4
0007-0912,2021,49,15
0007-0912,2022,123,30
0007-0912,2023,171,42
0007-0920,2019,54,53
0007-0920,2020,118,115
0007-0920,2021,119,100
0007-0920,2022,142,124
0007-0920,2023,143,126
0007-0955,2019,1,1
0007-0955,2020,6,3
0007-0955,2021,54,37
0007-0955,2022,51,27
0007-0955,2023,40,28
0007-0963,2019,90,26
0007-0963,2020,174,88
0007-0963,2021,168,98
0007-0963,2022,209,125
0007-0963,2023,219,69
0007-0998,2019,8,7
0007-0998,2020,23,17
0007-0998,2021,36,31
0007-0998,2022,46,40
0007-0998,2023,38,36
0007-1005,2019,2,1
0007-1005,2021,33,18
0007-1005,2022,18,8
0007-1005,2023,49,22
0007-1013,2019,2,1
0007-1013,2020,8,6
0007-1013,2021,25,19
0007-1013,2022,37,32
0007-1013,2023,47,40
0007-1048,2019,20,4
0007-1048,2020,209,60
0007-1048,2021,219,96
0007-1048,2022,240,103
0007-1048,2023,309,167
0007-1080,2019,2,2
0007-1080,2020,30,16
0007-1080,2021,37,12
0007-1080,2022,34,19
0007-1080,2023,37,18
0007-1102,2019,6,0
0007-1102,2020,3,0
0007-1102,2021,7,4
0007-1102,2022,12,12
0007-1102,2023,19,12
0007-1145,2019,12,7
0007-1145,2020,36,16
0007-1145,2021,92,50
0007-1145,2022,151,109
0007-1145,2023,101,73
0007-1161,2019,1,1
0007-1161,2020,1,0
0007-1161,2021,44,18
0007-1161,2022,34,8
0007-1161,2023,34,13
0007-1188,2019,17,8
0007-1188,2020,106,64
0007-1188,2021,112,84
0007-1188,2022,107,69
0007-1188,2023,109,92
0007-1234,2019,10,6
0007-1234,2020,20,12
0007-1234,2021,37,28
0007-1234,2022,38,35
0007-1234,2023,35,35
0007-1250,2019,9,2
0007-1250,2020,6,3
0007-1250,2021,50,24
0007-1250,2022,71,39
0007-1250,2023,66,29
0007-1269,2019,4,3
0007-1269,2020,22,14
0007-1269,2021,24,16
0007-1269,2022,33,23
0007-1269,2023,36,30
0007-1285,2019,19,0
0007-1285,2020,74,0
0007-1285,2021,105,0
0007-1285,2022,70,0
0007-1285,2023,127,12
0007-1315,2019,6,3
0007-1315,2020,39,21
0007-1315,2021,50,29
0007-1315,2022,53,38
0007-1315,2023,63,48
0007-1323,2019,17,3
0007-1323,2020,26,11
0007-1323,2021,176,59
0007-1323,2022,169,91
0007-1323,2023,177,102
0007-1420,2021,9,1
0007-1420,2022,10,7
0007-1420,2023,17,13
0007-1668,2020,2,2
0007-1668,2021,10,7
0007-1668,2022,7,5
0007-1668,2023,8,7
0007-1773,2019,1,1
0007-1773,2021,5,2
0007-1773,2022,4,2
0007-1773,2023,7,5
0007-196X,2019,1,0
0007-196X,2020,1,1
0007-196X,2022,5,1
0007-196X,2023,4,1
0007-4497,2019,1,0
0007-4497,2020,6,0
0007-4497,2021,7,1
0007-4497,2022,7,1
0007-4497,2023,18,4
0007-4853,2019,3,0
0007-4853,2020,6,3
0007-4853,2021,11,3
0007-4853,2022,21,10
0007-4853,2023,8,6
0007-4861,2019,4,3
0007-4861,2020,8,4
0007-4861,2021,4,3
0007-4861,2022,8,6
0007-4861,2023,16,12
0007-4918,2021,2,0
0007-4918,2022,4,1
0007-4918,2023,12,6
0007-5027,2022,7,2
0007-5027,2023,4,2
0007-6503,2019,1,0
0007-6503,2020,7,5
0007-6503,2021,8,7
