issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
0006-341X,2023,core,13,10,12,8,12,7,7,5
0006-3444,2023,all,13,11,13,11,13,11,12,11
0006-3444,2023,core,13,11,13,11,13,11,12,11
0006-3495,2023,all,559,68,548,34,100,41,26,7
0006-3495,2023,core,86,68,76,34,90,41,19,7
0006-3525,2023,all,14,10,14,6,14,6,5,2
0006-3525,2023,core,14,10,14,6,14,6,5,2
0006-3568,2023,all,19,9,19,9,19,9,19,9
0006-3568,2023,core,14,9,14,9,14,9,14,9
0006-3592,2023,all,130,197,127,107,131,111,25,21
0006-3592,2023,core,128,195,125,106,130,110,25,21
0006-3606,2023,all,38,30,36,26,40,29,32,25
0006-3606,2023,core,35,29,33,25,37,28,30,24
0006-3657,2023,all,12,4,12,3,12,3,6,2
0006-3657,2023,core,12,4,12,3,12,3,6,2
0006-3835,2023,all,29,32,28,23,27,24,16,15
0006-3835,2023,core,29,32,28,23,27,24,16,15
0006-8101,2023,all,3,4,3,2,3,2,1,0
0006-8101,2023,core,3,4,3,2,3,2,1,0
0006-8314,2023,all,26,25,26,23,26,23,24,21
0006-8314,2023,core,23,23,23,21,23,21,21,19
0006-8950,2023,all,178,194,168,117,184,131,87,54
0006-8950,2023,core,132,174,126,104,138,116,56,46
0006-8977,2023,all,4,1,4,1,4,1,2,1
0006-8977,2023,core,3,1,3,1,3,1,2,1
0006-8993,2023,all,37,40,37,22,38,24,10,6
0006-8993,2023,core,37,40,37,22,38,24,10,6
0007-0610,2023,all,234,86,230,61,236,62,195,37
0007-0610,2023,core,126,78,124,54,126,55,91,31
0007-070X,2023,all,40,29,40,23,38,23,26,17
0007-070X,2023,core,40,29,40,23,38,23,26,17
0007-0874,2023,all,64,17,64,17,64,17,63,17
0007-0874,2023,core,18,16,18,16,18,16,18,16
0007-0904,2023,all,22,13,22,13,22,13,22,13
0007-0904,2023,core,15,12,15,12,15,12,15,12
0007-0912,2023,all,169,52,162,37,146,43,86,28
0007-0912,2023,core,83,51,80,36,87,42,52,27
0007-0920,2023,all,170,222,158,135,167,143,66,56
0007-0920,2023,core,154,214,143,129,151,137,56,52
0007-0955,2023,all,53,31,53,31,52,31,52,31
0007-0955,2023,core,43,31,43,31,43,31,43,31
0007-0963,2023,all,510,121,505,79,247,77,155,35
0007-0963,2023,core,100,87,100,57,98,56,49,26
0007-0998,2023,all,43,43,43,37,44,38,38,32
0007-0998,2023,core,41,43,41,37,42,38,36,32
0007-1005,2023,all,48,27,48,23,48,23,44,19
0007-1005,2023,core,29,27,29,23,29,23,25,19
0007-1013,2023,all,51,50,51,42,48,41,40,33
0007-1013,2023,core,46,49,46,41,43,40,35,32
0007-1048,2023,all,528,281,516,185,384,194,206,98
0007-1048,2023,core,225,233,219,145,230,154,106,66
0007-1080,2023,all,38,27,37,20,38,21,30,14
0007-1080,2023,core,22,27,21,20,22,21,14,14
0007-1102,2023,all,20,16,20,13,19,13,15,10
0007-1102,2023,core,18,14,18,12,17,12,14,10
0007-1145,2023,all,104,111,102,75,103,75,55,39
0007-1145,2023,core,100,109,98,73,99,73,51,37
0007-1161,2023,all,29,20,28,14,29,15,18,9
0007-1161,2023,core,23,17,22,12,23,12,14,7
0007-1188,2023,all,631,170,626,94,127,100,36,24
0007-1188,2023,core,90,128,86,71,92,74,22,17
0007-1234,2023,all,39,45,39,35,39,35,27,25
0007-1234,2023,core,39,45,39,35,39,35,27,25
0007-1250,2023,all,87,45,84,33,87,34,67,22
0007-1250,2023,core,44,44,43,32,44,33,28,21
0007-1269,2023,all,38,40,38,31,38,32,28,23
0007-1269,2023,core,33,37,33,29,33,30,24,22
0007-1285,2023,all,130,130,121,89,139,104,87,63
0007-1285,2023,core,122,126,113,86,131,101,80,61
0007-1315,2023,all,60,46,60,43,61,44,58,41
0007-1315,2023,core,45,45,45,42,46,43,43,40
0007-1323,2023,all,954,142,943,96,205,103,123,57
0007-1323,2023,core,121,111,118,78,122,80,72,47
0007-1420,2023,all,22,16,20,12,22,13,11,9
0007-1420,2023,core,21,15,19,11,21,12,10,8
0007-1668,2023,all,6,6,6,5,6,5,5,4
0007-1668,2023,core,6,6,6,5,6,5,5,4
0007-1773,2023,all,8,3,8,3,8,3,8,3
0007-1773,2023,core,7,3,7,3,7,3,7,3
0007-196X,2023,all,3,1,3,1,3,1,3,1
0007-196X,2023,core,3,1,3,1,3,1,3,1
0007-4497,2023,all,19,10,18,6,18,7,10,3
0007-4497,2023,core,19,10,18,6,18,7,10,3
0007-4853,2023,all,7,6,7,4,7,5,4,3
0007-4853,2023,core,7,6,7,4,7,5,4,3
0007-4861,2023,all,15,14,14,10,16,12,10,8
0007-4861,2023,core,15,14,14,10,16,12,10,8
0007-4918,2023,all,11,5,11,5,11,5,11,5
0007-4918,2023,core,7,5,7,5,7,5,7,5
0007-5027,2023,all,5,3,5,2,5,2,3,1
0007-5027,2023,core,5,3,5,2,5,2,3,1
0007-6503,2023,all,30,26,30,21,29,21,21,16
0007-6503,2023,core,24,22,24,18,23,18,17,14
0007-6791,2023,all,41,23,41,20,41,20,35,17
0007-6791,2023,core,28,23,28,20,28,20,22,17
0007-6805,2023,all,26,3,26,3,26,3,26,3
0007-6805,2023,core,12,3,12,3,12,3,12,3
0007-6813,2023,all,19,16,18,13,18,14,13,11
0007-6813,2023,core,19,16,18,13,18,14,13,11
0007-7704,2023,all,7,0,7,0,7,0,7,0
0007-7704,2023,core,6,0,6,0,6,0,6,0
0007-8506,2023,all,60,54,59,34,57,33,29,13
0007-8506,2023,core,60,54,59,34,57,33,29,13
0008-0624,2023,all,12,13,12,10,12,11,9,8
0008-0624,2023,core,11,12,11,9,11,10,8,7
0008-1256,2023,all,13,11,13,11,13,11,13,11
0008-1256,2023,core,13,11,13,11,13,11,13,11
0008-1973,2023,all,41,18,41,17,44,18,41,17
0008-1973,2023,core,15,10,15,10,15,10,15,10
0008-347X,2023,all,16,26,16,15,17,16,6,5
0008-347X,2023,core,16,26,16,15,17,16,6,5
0008-3658,2023,all,60,30,59,24,61,25,52,19
0008-3658,2023,core,31,25,30,21,32,22,26,18
0008-3674,2023,all,2,0,2,0,1,0,0,0
0008-3674,2023,core,2,0,2,0,1,0,0,0
0008-3976,2023,all,13,14,13,12,13,12,11,10
0008-3976,2023,core,13,14,13,12,13,12,11,10
0008-4034,2023,all,118,108,116,62,115,61,33,15
